beer_id,beer_name,beer_advocates_style,beer_abv,abv_strength,beer_style_ibu_avg,brewery_name
107,Cellar Door,Belgian Saison,6.6,3,29.0,Stillwater Artisanal Ales
108,Bourbon County Brand Stout,American Imperial Stout,14.5,4,65.0,Goose Island Beer Co.
109,Trader Joe's 2010 Vintage Ale,Belgian Strong Dark Ale,9.2,4,37.5,Trader Joe's Brewing Company
110,Summit Gold Sovereign Ale,English Pale Ale,6.31,3,30.0,Summit Brewing Company
111,Smoke,Baltic Porter,8.2,3,35.0,Surly Brewing Company
112,Leinenkugel's Creamy Dark,European Dark Lager,4.9,2,27.5,Jacob Leinenkugel Brewing Company
113,Great Lakes Edmund Fitzgerald Porter,American Porter,5.8,2,30.0,Great Lakes Brewing Company
114,Bender,American Brown Ale,5.1,2,35.0,Surly Brewing Company
115,Bell's Best Brown,English Brown Ale,5.8,2,20.0,"Bell's Brewery, Inc."
116,Bell's Amber Ale,American Amber Red Ale,5.8,2,35.0,"Bell's Brewery, Inc."
117,Abrasive Ale,American Imperial IPA,9.0,4,82.5,Surly Brewing Company
118,2° Below Winter Ale,English Extra Special Strong Bitter (ESB),6.6,3,30.0,New Belgium Brewing
119,New Holland The Poet,English Oatmeal Stout,5.2,2,30.0,New Holland Brewing Company
120,Fuller's Vintage Ale,English Old Ale,8.5,3,47.5,Fuller Smith & Turner PLC
121,Pilsner Urquell,Bohemian Pilsener,4.4,2,37.5,"Plzensky Prazdroj, a. s."
122,Karlovacko,Bohemian Pilsener,5.0,2,37.5,Karlova&#267;ka Pivovara
123,Young's Double Chocolate Stout,English Sweet Milk Stout,5.2,2,20.0,Wells & Young's Ltd
124,Urthel Samaranth,Belgian Quadrupel (Quad),11.5,4,37.5,De Leyerth Brouwerijen (Urthel)
125,Tsingtao,American Adjunct Lager,4.8,2,13.0,"Tsingtao Brewery Co., Ltd."
126,The Immortal IPA,American IPA,6.21,3,60.0,Elysian Brewing Company
127,Tetley's English Ale,English Pale Ale,3.6,1,30.0,Carlsberg-Tetley Brewing Ltd
128,Tecate,American Adjunct Lager,4.5,2,13.0,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V."
129,Taj Mahal Premium Lager,American Adjunct Lager,4.5,2,13.0,United Breweries
130,Stone Ruination IPA,American Imperial IPA,7.7,3,82.5,Stone Brewing Co.
131,Stone Pale Ale,American Pale Ale (APA),5.4,2,37.5,Stone Brewing Co.
132,Stone Old Guardian Barley Wine Style Ale 2007,American Barleywine,11.26,4,80.0,Stone Brewing Co.
133,Stone Levitation Ale,American Amber Red Ale,4.4,2,35.0,Stone Brewing Co.
134,Stone IPA (India Pale Ale),American IPA,6.9,3,60.0,Stone Brewing Co.
135,Singha,European Pale Lager,5.0,2,21.5,"Boon Rawd Brewery Co., Ltd"
136,Sierra Nevada Pale Ale,American Pale Ale (APA),5.6,2,37.5,Sierra Nevada Brewing Co.
137,Sapporo Original Draft Beer,Japanese Rice Lager,5.0,2,12.0,Sapporo Breweries Ltd.
138,Piraat Ale,Belgian IPA,10.5,4,65.0,Brouwerij Van Steenberge N.V.
139,Pacífico,American Adjunct Lager,4.8,2,13.0,Grupo Modelo S.A. de C.V.
140,Pabst Blue Ribbon (PBR),American Adjunct Lager,4.74,2,13.0,Pabst Brewing Company
141,Our Special Ale 2006 (Anchor Christmas Ale),Winter Warmer,5.5,2,42.5,Anchor Brewing Company
142,Old Rasputin Russian Imperial Stout,Russian Imperial Stout,9.0,4,70.0,North Coast Brewing Co.
143,Newcastle Brown Ale,English Brown Ale,4.7,2,20.0,The Caledonian Brewery Company Limited
144,Negra Modelo,Munich Dunkel Lager,5.4,2,20.0,Grupo Modelo S.A. de C.V.
145,Monty Python's Holy Grail Ale,English Pale Ale,4.7,2,30.0,Black Sheep Brewery PLC
146,Mississippi Mud Black & Tan,American Porter,5.0,2,30.0,Mississippi Brewing Co.
147,Miller Genuine Draft,American Adjunct Lager,4.66,2,13.0,Miller Brewing Co.
148,Michelob Amber Bock,German Bock,5.2,2,25.0,Anheuser-Busch
149,McEwan's Scotch Ale,Scotch Ale Wee Heavy,8.0,3,30.0,The Caledonian Brewery Company Limited
150,Lindemans Apple,Belgian Fruit Lambic,3.5,1,18.0,Brouwerij Lindemans
151,Kilt Lifter Scotch Ale,Scotch Ale Wee Heavy,8.0,3,30.0,Moylan's Brewery
152,Kells Irish Style Lager,European Pale Lager,5.0,2,21.5,Rogue Ales
153,Heineken Lager Beer,European Pale Lager,5.0,2,21.5,Heineken Nederland B.V.
154,Harp Lager,European Pale Lager,5.0,2,21.5,Guinness Ltd.
155,Guinness Extra Stout (Original),Irish Dry Stout,6.0,3,35.0,Guinness Ltd.
156,Grolsch Premium Lager,European Pale Lager,5.0,2,21.5,Grolsch Bierbrouwerij N.V.
157,Gouden Carolus Noël Christmas,Belgian Strong Dark Ale,10.0,4,37.5,Brouwerij Het Anker
158,Fuller's London Pride,English Pale Ale,4.7,2,30.0,Fuller Smith & Turner PLC
159,Fraoch Heather Ale,Scottish Gruit Ancient Herbed Ale,5.0,2,0.0,Williams Brothers Brewing Company
160,Foster's Lager,American Adjunct Lager,5.0,2,13.0,Foster's Group Limited
161,Fat Tire Amber Ale,American Amber Red Ale,5.2,2,35.0,New Belgium Brewing
162,Ebulum Elderberry Black Ale,Scottish Gruit Ancient Herbed Ale,6.5,3,0.0,Williams Brothers Brewing Company
163,Double Bastard Ale,American Strong Ale,10.5,4,70.0,Stone Brewing Co.
164,Delirium Tremens,Belgian Strong Pale Ale,8.5,3,30.0,Brouwerij Huyghe
165,Dead Guy Ale,German Maibock,6.5,3,29.0,Rogue Ales
166,Corona Extra,American Adjunct Lager,4.6,2,13.0,Grupo Modelo S.A. de C.V.
167,Coors Light,American Light Lager,4.2,2,10.0,Coors Brewing Company
168,Chimay Grande Réserve (Blue),Belgian Strong Dark Ale,9.0,4,37.5,Bières de Chimay S.A.
169,Caracole Ambrée,Belgian Strong Pale Ale,8.0,3,30.0,Brasserie Caracole
170,Bush Ambrée,Belgian Strong Pale Ale,12.0,4,30.0,Brasserie Dubuisson Frères sprl
171,Budweiser,American Adjunct Lager,5.0,2,13.0,Anheuser-Busch
172,Brother David's Belgian-style Double Ale,Belgian Dubbel,9.0,4,22.5,Anderson Valley Brewing Company
173,Boddingtons Pub Ale,English Pale Ale,4.7,2,30.0,Boddingtons
